Location	Mood	Type	Determiner	Preposition	Size	Ambience	Interactions	Props
art-house cinema	POS	Building	an	in		pretentious, classy, upscale, minimalist, plush, contemporary, dingy, smug	sitting next to, queuing behind, sharing popcorn with, whispering with	usher's torch, cola, 
assembly line	NEUT	Floor	an	in	large	mechanized, automated, efficient, continuous, repetitive, endless, humming, busy, noisy	working next to, working with, 	iron lever, fire extinguisher, power cord
asylum for the insane	NEG	Building	an	in	large	chaotic, draconian, shabby, harsh, strict, disorderly, unwelcoming, depressing, dreary, confining, oppressive	jabbering next to, staring at, screaming at, glowering at, chasing, cackling with, exchanging medication with	pillow, jello
attic	NEG	Floor	an	in		dusty, cramped, cluttered, dark, stuffy	crouching with, conspiring with, whispering with	floor board, wooden joist, roofing tile, exposed wiring, 
back-alley theatre	NEUT	Building	a	in	small	dingy, cramped, faded, uncomfortable, stuffy, eccentric, shady	sitting next to, queuing behind, sharing popcorn with, whispering with, sharing in-jokes with, discussing casting choices with	usher's torch, cola, 
balcony	POS	Outside_Area	a	in	small	airy, precarious, dramatic, exposed	looking at the moon with, exchanging glances with, holding hands with	flower pot
barn	NEUT	Building	a	in	large	airy, dilapidated, ramshackle, unheated, dusty, smelly, damp, unwelcoming, 	baling hay with, shoveling poop with, 	pitchfork, shovel
basement	NEG	Floor	a	in		dark, damp, dank, unheated, clammy, moldy, dusty, sweaty, smelly, dim, gloomy, humid, stuffy, shabby, airless, fetid, murky, unventiliated, windowless	crouching next to conspiring with, whispering with	lead pipe, power cord
basketball court	POS	Floor	a	in	large	springy, airy, spacious, featureless	dribbling with, playing with, cheering with	basketball
bathroom	NEUT	Room	a	in	small	cramped, claustrophobic, damp, wet, clammy, sticky, humid, dank, steamy	peeing next to, unspooling toilet paper for, passing soap to	toothbrush, toilet plunger, toilet brush, toilet cleaner
battlefield	NEG	Outside_Area	a	in	large	bloody, chaotic, gory, muddy, dirty, scarred, gruesome, desolate, grim, lonely, cluttered, ghastly, barren, hellish, unforgiving, stained, grisly, smoldering, eerie, devastated, hectic, ravaged, litter-strewn	crouching next to, lying next to	brick, piece of rubble, street sign, manhole cover
blackjack table	NEG	Section	a	at	small	dishonest, crooked, sleazy, ruthless, compulsive, untrustworthy, relentless	gambling next to, counting cards with, playing against	playing card, whiskey glass, glass ashtray
blue lagoon	POS	Outside_Area	a	in	large	sparkling, sandy, inviting, welcoming, alluring, clear, pristine, serene, exotic, lush, romantic, panoramic, temperate, translucent, glittering, soothing, unspoilt, charming	swimming with, sunbathing with, cavorting with, frolicking with	coconut, rock, broken branch
board room	POS	Room	a	in	large	formal, upscale, plush, prestigious, elegant, spacious, intimidating, impersonal, stuffy, officious		
Bohemian caf?	POS	Building	a	in		pretentious, snooty, fashionable, chic, sophisticated, stylish, elegant, charming, minimalist, upscale, romantic, kitschy , flamboyant, cosmopolitan, smug		
bowling alley	POS	Floor	a	in	large	dilapidated, unpretentious, noisy, hectic, dingy, bright, grimy, sunless		
boxing club	POS	Building	a	in		noisy, sweaty, aggressive, violent, rowdy, raucous, stinky, brutal, gloomy, smoky, grimy, sunless		
brothel	NEG	Building	a	in		seedy, cheap, dark, sordid, smoky, filthy, squalid, tasteless, steamy, sinful, kitschy, raunchy		
Brownstone townhouse	POS	Building	a	in		chic, stylish, elegant, contemporary, sophisticated, welcoming, inviting, sunny, desirable, comfortable		
bullpen	NEUT	Floor	a	in		crowded, bustling, hectic, busy, cramped, 		
cage	NEG	Room	a	in	small	cramped, claustrophobic, rusty, confining, miserable, windowless, smelly, uncomfortable, restrictive, unclean, barren, unsanitized		
candy store	POS	Building	a	in		inviting, alluring, aromatic, nostalgic, welcoming, colourful, bright, eclectic, whimsical, cute, appealing, cheerful, psychedelic		
carnival	POS	Event	a	in	large	bright, vibrant, funky, colourful, crowded, bizarre, flamboyant, wacky, cheerful, joyful, raucous, exuberant, chaotic, rambunctious, gaudy, psychedelic		
casino	NEG	Building	a	in	large	flashy, noisy, gaudy, extravagant, seedy, unscrupulous, ruthless, crooked, tacky, grand, glamorous, bright, windowless		
cat walk	POS	Section	a	in		glamorous, swanky, elevated, glitzy		
cave	NEG	Outside_Area	a	in		dark, damp, dank, cold, clammy, moldy, sweaty, smelly, dim, gloomy, humid, stuffy, shadowy, airless, fetid, murky, spooky, foreboding, labyrinthine, sinister, chilly, unlit, ghastly, slippery, stagnant		
Caymen island	POS	Outside_Area	a	in	large	grand, exclusive, relaxing, luxurious, comfortable, chic, fashionable, plush, stylish, opulent, lush, sunny, 		
changing room	NEUT	Room	a	in	small	cramped, claustrophobic, uncomfortable		
chapel	POS	Building	a	in		quaint, charming, sombre, rustic, romantic, intimate, enchanting, peaceful, picturesque, gloomy, hushed, humble, understated		
chat show set	POS	Floor	a	in	large	lively, impersonal, artificial, generic, sanitized		
cheap motel	NEG	Building	a	in	large	tacky, dated, cheesy, sleazy, trashy, ugly, affordable, low-end, faded, drab, dreary, dusty, dingy, decrepit, anonymous, shabby, sticky		
Chinese restaurant	NEUT	Building	a	in		bland, shabby, nondescript, formulaic, dingy, tacky, cheesy, flashy, colourful, ornate, authentic, greasy, garish, convivial		
chocolate factory	NEUT	Building	a	in	large	wacky, sprawling, aromatic, fragrant, busy		
church	NEUT	Building	a	in	large	solemn, sombre, dark, hushed, gloomy, severe, dignified, austere, serene, frigid		
shrine	NEUT	Building	a	in	small	hushed, creepy, gaudy, macabre, grandiose, hallowed, humble, glittering, serene, tranquil		
temple	POS	Building	a	in		hushed, hallowed, humble, glittering, majestic, serene, tranquil, pristine		
Buddhist temple	POS	Building	a	in		hushed, hallowed, humble, glittering, majestic, serene, tranquil, pristine		
church basement	NEG	Floor	a	in		dark, damp, dank, unheated, clammy, moldy, dusty, sweaty, smelly, dim, gloomy, humid, stuffy, shabby, airless, fetid, murky, unventiliated, 		
circus	POS	Event	a	in	large	bright, vibrant, funky, colourful, crowded, bizarre, flamboyant, wacky, cheerful, joyful, raucous, exuberant, chaotic, rambunctious, gaudy, psychedelic		
city hall	NEUT	Building	a	in	large	grandiose, formal, stuffy, boring, dated, pretentious, sombre, faded, solemn, stark		
clothing factory	NEG	Building	a	in	large	bustling, noisy, hectic, monotonous, bleak, dreary, soulless, outdated, oppressive, exploitative		
coal pit	NEG	Outside_Area	a	in	large	dark, dirty, gloomy, dank, sweaty, depressing, dismal, damp, filthy, muddy, grungy, barren, desolate, squalid, murky		
cobbler shop	NEUT	Building	a	in	small	humble, modest, cluttered, cramped, quaint, dated		
cockpit	NEUT	Room	a	in	small	claustrophobic, cramped, narrow, uncomfortable, confining		
college dormitory	NEUT	Floor	a	in	large	crowded, spartan, noisy, drab, dreary, noisy, cluttered, smelly, messy		
comedy club	POS	Building	a	in		crowded, sweaty, dark, loud, noisy, lively, rowdy, raucous, energetic, spirited, snug		
comic book convention	POS	Event	a	in	large	nerdy, geeky, colourful, bustling, vibrant, spirited, lively, wacky, kitschy, whimsical, eccentric, quirky		
comic book store	POS	Building	a	in		colourful, cramped, geeky, nerdy, bright, quirky, wacky, kitschy, garish, whimsical, eccentric, quirky		
command bridge	NEG	Floor	the	on	small	sombre, hectic, intense, chaotic, tense, suspenseful, uneasy, unnerving, claustrophobic, ominous		
command module	NEG	Room	the	in	small	cramped, claustrophobic, uncomfortable		
command room	NEG	Room	the	in		sombre, hectic, intense, chaotic, tense, suspenseful, uneasy, unnerving, claustrophobic, ominous		
computer room	NEUT	Room	a	in		sweaty, bland, drab, dull, humming, dreary, lifeless, soulless, monochromatic, spartan, nondescript, featureless, anonymous, stark, sterile		
confession box	NEG	Room	a	in	small	dark, cramped, claustrophobic, spartan, uncomfortable, stark, severe, snug		
convent	NEUT	Building	a	in	large	stark, gloomy, cold, hushed, austere, sombre, shadowy, bleak, dreary, severe, serene, tranquil		
council chamber	NEUT	Room	a	in	large	formal, upscale, grand, prestigious, elegant, spacious, intimidating, impersonal, stuffy, officious, pompous		
counting room	NEUT	Room	a	in		staid, stark, drab, airless, stuffy, dull, windowless		
country house	POS	Building	a	in	large	grand, elegant, charming, faded, secluded, rustic, rambling, sumptuous, distinguished, dignified, quaint, pretentious, commodious, spooky, genteel, drafty		
court room	NEG	Room	a	in	large	packed, crowded, formal, solemn, dignified, hushed, stately, tense, airless, stuffy, impersonal, dull		
court TV set	NEUT	Room	a	in	large	lively, impersonal, artificial, generic, sanitized, phony		
cramped studio apartment	NEUT	Room	a	in	small	cramped, claustrophobic, cluttered, uncomfortable, depressing, dingy, musty, smelly, stuffy, depressing, dismal, cheerless, threadbare, spartan, drab, ramshackle		
cryogenics laboratory	NEG	Room	a	in		chilly, sterile, cold, freezing, barren, shiny, gleaming, antiseptic, creepy, clinical, pristine, aseptic, neat, orderly		
dance hall	POS	Floor	a	in	large	packed, crowded, seedy, sweaty, lively, boisterous, rowdy, raucous, spacious, loud, cheesy, spirited, funky		
dark alley	NEG	Outside_Area	a	in		dark, bleak, gloomy, shadowy, sinister, damp, unwelcoming, lonely, scary, narrow, dank, desolate, creepy, grimy, cramped, dirty, seedy, filthy, smelly, sticky		
desert	NEG	Outside_Area	the	in	large	barren, lifeless, bleak, dry, humid, desolate, sterile, sandy, rocky, featureless, harsh, unforgiving, boring, infertile, windswept, unspoiled, uninhabitable, stony, scrubby, ravaged, parched, pitiless, nondescript, monotonous, dreary, drab, desiccated, colorless, bland, arid, dusty		
deserted building site	NEG	Outside_Area	a	in	large	abandoned, bleak, barren, scrubby, stony, rocky, dreary, lonely, desolate, eerie, forlorn, gloomy, solitary, spooky, grim, ugly		
discotheque	POS	Building	a	in	large	crowded, sweaty, dark, loud, noisy, lively, rowdy, raucous, energetic, spirited, vibrant, smoky, tacky, cheesy, sparkly, flashy, gaudy, dated, sultry, raunchy		
disused hangar	NEG	Building	a	in	large	forlorn, musty, desolate, crumbling, grim, drafty, damp, dusty, comfortless, unwelcoming, spacious, dilapidated, ramshackle, spooky		
disused quarry	NEG	Outside_Area	a	in	large	gray, cold, dead, derelict, stony, arid, rocky, gloomy, rugged, weathered		
donut shop	POS	Building	a	in	small	greasy, alluring, welcoming, oily, colourful, cheerful, bustling, appealing, tacky, cheap, unsophisticated		
drawing room	POS	Room	a	in		elegant, spacious, formal, cosy, sumptuous, relaxing, stately, intimate, sunny, charming, welcoming		
dressing room	NEUT	Room	a	in	small	poky, cramped, cluttered, drab, snug		
elevator	NEUT	Room	an	in	small	claustrophobic, cramped, narrow, confining		
emergency room	NEG	Room	an	in		chaotic, bloody, noisy, energetic, crowded, hectic, packed, intense, stressful, 		
escape pod	NEG	Room	an	in	small	claustrophobic, cramped, narrow, confining		
executive restroom	POS	Room	an	in	large	exclusive, indulgent, oversized, grandiose, luxurious, soothing, calm, lavish, serene, refreshing, sumptuous, tranquil, plush		
fabrication lab	NEUT	Building	a	in		clean, sterile, shiny, bland, pristine, orderly, bright, windowless, cool, air-conditioned		
factory floor	NEUT	Floor	a	in	large	hectic, noisy, busy, orderly, bustling, energetic, loud, cramped, crowded		
family restaurant	POS	Building	a	in	large	cheery, cosy, casual, informal, warm, welcoming, inviting, relaxing, busy, upscale , comfortable, cheesy, tacky		
fancy hotel	PIS	Building	a	in	large	exclusive, glitzy, flashy, glamorous, pretentious, ornate, ostentatious, pretentious, chic, stylish, sophisticated, glossy, showy, prestigious, sleek, upscale, upmarket, luxurious, polished, cosmopolitan, snooty, marbled		
fancy restaurant	POS	Building	a	in	large	exclusive, glitzy, flashy, glamorous, pretentious, ornate, ostentatious, pretentious, chic, stylish, sophisticated, glossy, showy, sleek, upscale, upmarket, lush, elegant, cosmopolitan, smug, snooty, snug		
Faraday cage	NEG	Room	a	in		cramped, claustrophobic, rusty, confining, miserable, windowless, smelly, uncomfortable, restrictive, unclean, barren, unsanitized		
farmer's market	NEUT	Outside_Area	a	in	large	unsanitized, noisy, smelly, messy, aromatic, fragrant, colourful, fresh, bustling, rustic, smug		
fashion studio	POS	Building	a	in	large	stylish, trendy, sleek, chic, sophisticated, elegant, showy,  glamorous, hip, contemporary, fabulous, lush, smug		
fast-food restaurant	NEUT	Building	a	in		tacky, cheesy, bright, plastic, busy, bustling, crowded, gaudy, cheap		
film set	POS	Floor	a	in	large	busy, orderly, hectic, windowless, 		
flea market	NEUT	Outside_Area	a	in	large	crowded, bustling, hectic, busy, cramped, dusty, eclectic, haphazard, motley  		
floating platform	NEUT	Floor	a	on		jerky, noisy, unstable, humming, elevated		
flop house	NEG	Building	a	in		sweaty, spartan, drab, dreary, smelly, dirty, filthy, grimy, dank, musty, moldy, depressing, damp, decrepit, dilapidated, unwelcoming, stale		
foreign office	NEUT	Building	a	in	large	clubby, staid, conservative, dull, stodgy, dignified, austere, sombre, understated, polished, orderly, formal		
frozen pond	NEUT	Outside_Area	a	on	large	icy, freezing, cold, slippery, barren, lifeless, frigid, grey, sterile, wintry, chilly, gloomy, frosty		
garage	NEUT	Outside_Area	a	in		cluttered, cramped, untidy, messy, windowless, dusty, oily, stuffy, dingy, musty, unheated		
garbage dumpster	NEG	Room	a	in		smelly, stinky, dirty, dank, sticky, windowless, stale, stagnant, filthy, clammy, vile, dark, cramped, cluttered, claustrophobic		
garden shed	NEUT	Room	a	in	small	quaint, dingy, cramped, unheated, cluttered, damp, humid, ramshackle, humble, leaky, dusty		
gas chamber	NEG	Room	a	in	small	cramped, claustrophobic, sterile, confining, miserable, windowless, cold, uncomfortable, restrictive, uninviting, unwelcoming, airless, stale, lifeless, stark, suffocating,		
ghost town	NEG	Compound	a	in	large	derelict, shabby, rundown, ramshackle, dusty, creepy, sinister, spooky, lifeless, grim, dreary, soulless, gloomy, haunted, eerie		
gloomy dungeon	NEG	Compound	a	in	large	dark, grim, dank, damp, dreary, unwelcoming, uninviting, dismal, murky, bleak, miserable, eerie, dim, creepy, sinister, bloody, suffocating, chilling, labyrinthine		
golf course	POS	Outside_Area	a	on	large	boring, windswept, treeless, rambling, sprawling, featureless, bland, serene, placid, lush, scenic, picturesque, landscaped, sculpted, neat, nondescript, staid		
gymnasium	POS	Floor	a	in	large	spacious, sweaty, smelly, odorous, airy, humid		
hair salon	POS	Floor	a	in		upscale, stylish, chic, fashionable, welcoming, hip, plush, upbeat, pretentious, snooty, noisy, busy, bustling		
hall of mirrors	NEUT	Floor	a	in	large	confusing, disorienting, psychedelic, shiny, frustrating, chaotic, 		
health farm	POS	Compound	a	in	large	clean, sterile, shiny, bland, pristine, orderly, bright,  relaxing, airy, sanitized, smug		
hi-tech laboratory	POS	Room	a	in		sophisticated, clean, bright, modern, sterile, orderly, sanitized, hygienic, pristine, ergonomic, contemporary, air-conditioned, sleek, futuristic, neat, tidy		
hippy commune	POS	Compound	a	in	large	peaceful, happy, carefree, smoky, relaxed, laidback, welcoming, scruffy, smug, soothing, mellow		
hobo camp	NEG	Compound	a	in	large	shabby, dirty, messy, cramped, dilapidated, dumpy, dreary, ramshackle, decrepit, crowded, dank, dusty, squalid, depressing, smelly, depressing, cluttered, dismal, carefree, scruffy, smoky, laidback		
fancy hotel foyer	POS	Floor	a	in	large	marbled, grand, formal, inviting, stylish, bright, tasteful, airy, ornate, fabulous, plush, warm, swanky		
cheap hotel foyer	NEUT	Floor	a	in	small	outdated, cramped, dim,  drafty, musty, dark, poky, staid, sticky, smelly,  damp, stuffy, gloomy		
housing estate	NEUT	Compound	a	in	large	quiet, sleepy, bland, uniform, boring, close-knit, faceless, soulless, treeless, drab, smug, repressed, suffocating		
ice rink	NEUT	Floor	an	on	large	icy, freezing, cold, slippery,  frigid, sterile, wintry, chilly, frosty, amusing, fun		
incident room	NEG	Room	an	in		cluttered, intense, windowless, stuffy, noisy, busy		
intensive care ward	NEG	Floor	an	in	large	packed, hushed, windowless, sanitized, hygienic, clean, busy, solemn, sombre, depressing, 		
internet caf?	POS	Building	an	in		sweaty, bland, drab, dull, humming, dreary, lifeless, soulless, monochromatic, spartan, nondescript, featureless, anonymous, stark, cluttered		
interrogation room	NEG	Room	an	in		harsh, gory, windowless, stuffy, airless, unwelcoming, uninviting, dreary, sinister, grim, intimidating, pitiless		
Italian restaurant	POS	Building	an	in		shabby, nondescript, formulaic, dingy, tacky, cheesy, flashy, colourful,  authentic, greasy, garish, festooned, cosy, romantic, rustic, charming, informal, unpretentious, homey, convivial		
jail cell	NEG	Room	a	in	small	spartan, cramped, claustrophobic, confining, dreary, dim, uncomfortable, unwelcoming, uninviting, cold, dull, austere		
jewelry store	POS	Building	a	in		glitzy, glossy, showy, classy, vulgar, crass, gaudy, trashy, tacky, kitschy, bright, cluttered, flashy, glittering, glamorous, swanky		
job centre	NEG	Building	a	in	large	depressing, dim, hushed, dreary, garish, bleak, dismal, frustrating, lifeless, dull, stark, soulless, drab, desolate, gloomy, staid		
jumble sale	NEUT	Floor	a	in		cluttered, disorganized, untidy, messy, crowded, hectic, eclectic, musty, dusty		
jungle	NEUT	Outside_Area	a	the	large	humid, dense, lush, damp, overgrown, murky, leafy, labyrinthine, foreboding, sticky, claustrophobic, eerie, impenetrable, muggy, sweaty, shady, oppressive, steamy, sultry, sweltering, unforgiving		
kill room	NEG	Room	a	in		intimidating, eerie, bloody, gory, uninviting, unwelcoming, spartan, claustrophobic, sinister, windowless		
kindergarten	POS	Building	a	in		noisy, rowdy, raucous, cheerful, boisterous, bright, airy, colourful,  whimsical, joyful, energetic, spirited, unruly		
Korean restaurant	POS	Building	a	in		smoky, sizzling, sweaty, hot, aromatic, greasy, exotic, noisy, boisterous, convivial		
larder	NEG	Room	a	in	small	cramped, claustrophobic, cluttered, windowless, stuffy, unheated, 		
pantry	NEG	Room	a	in	small	cramped, claustrophobic, cluttered, windowless, stuffy, unheated, 		
Laser Tag arcade	POS	Building	a	in		dark, cold, eerie, sinister, flashy, intense, intimidating, dingy, smoky, 		
lecture theatre	NEG	Room	a	in	large	stuffy, crowded, hushed, cramped, boring, windowless, airless, dull, drab, staid		
leper colony	NEG	Compound	a	in	large	shabby, dirty, messy, dilapidated, dumpy, dreary, ramshackle, decrepit, crowded, dank, dusty, squalid, depressing, smelly, depressing, cluttered, dismal		
library reference room	NEUT	Room	a	in		hushed, orderly, stuffy, airless, windowless, tranquil, serene, quaint, drab, formal, staid		
liposuction clinic	NEUT	Building	a	in		sterile, shiny, gleaming, antiseptic, clinical, pristine, aseptic, neat, orderly		
living room	POS	Room	a	in	small	snug, cosy, comfortable, warm, inviting, convivial		
low-tech laboratory	NEUT	Room	a	in		dated, cluttered, antiquated, dusty, dingy, obsolete, outdated, cramped, messy, untidy		
make-shift hut	NEG	Building	a	in	small	primitive, ramshackle, humble, crude, shabby, squalid, windowless, cramped, leaky, flimsy, unheated, spartan, damp		
make-shift lab	NEUT	Room	a	in		humble, cramped, ramshackle, crude, sloppy, spartan, messy, untidy		
map room	POS	Room	a	in		hushed, orderly, stuffy, airless, windowless, tranquil, serene, quaint, elegant, formal, polished, staid		
mental hospital	NEG	Building	a	in	large	chaotic, draconian, shabby, harsh, strict, disorderly, unwelcoming, depressing, dreary, confining, oppressive		
minaret	POS	Building	a	in	large	lofty, slim, narrow, elegant, airy		
missile silo	NEG	Building	a	in	large	concrete, drab, unwelcoming, windowless, sombre, dreary, 		
mobile meth lab	NEG	Building	a	in		humble, cramped, ramshackle, crude, sloppy, spartan, messy, untidy, dusty, sloppy		
monastery	NEUT	Compound	a	in	large	stark, gloomy, cold, hushed, austere, sombre, shadowy, bleak, dreary, severe, serene, tranquil		
mosque	NEUT	Building	a	in	large	serene, hushed, sombre, tranquil, crowded, busy, ornate, staid		
motor home	NEUT	Building	a	in	small	cramped, claustrophobic, uncomfortable, bumpy, stuffy, narrow		
movie studio	POS	Compound	a	in	large	glamorous, showy, flashy, pretentious, phony, flamboyant, glitzy, kitschy		
music hall	POS	Building	a	in	large	crowded, bustling, hectic, busy, cramped, noisy, energetic, musical		
music room	POS	Room	a	in		hushed, serene, quaint, sound-proofed, noisy, 		
natural history museum	POS	Building	a	in	large	dusty, antiquated, neglected, boring, musty, stuffy, quaint, lifeless, quiet, stodgy, staid, dim		
newspaper office	NEUT	Building	a	in	large	hectic, noisy, busy, orderly, bustling, energetic, loud, cramped, crowded, cluttered		
nuclear power plant	NEG	Building	a	in	large	toxic, drab, orderly, windowless, humming, busy, noisy, concrete, humorless, impersonal		
observatory	NEUT	Building	an	in	large	lofty, stuffy, windowless, sleek, cramped		
office building	NEG	Building	an	in	large	hectic,  busy, orderly, bustling, energetic, crowded, impersonal, nondescript, featureless, bland, anonymous, faceless, stressful, soulless, dour		
office canteen	NEUT	Room	an	in	large	greasy, unsophisticated, dreary, windowless, smell, noisy, hectic, cluttered, messy, smoky, smelly, busy, unpretentious, nondescript, dodgy, anonymous		
political rally	NEUT	Event	a	at	large	packed, energetic, loud, noisy, crowded, raucous, 		
Olympic swimming pool	POS	Building	an	in	large	heated, sparkling, pristine, impressive, windowless, immaculate, spacious, clean, damp, wet, humid, sticky, slippery		
open-plan office	NEG	Floor	an	in	large	hectic,  busy, orderly, bustling, energetic, crowded, impersonal, nondescript, featureless, bland, anonymous, faceless, stressful, soulless, airy		
orphanage	NEG	Building	an	in	large	dreary, bleak, drab, grim, depressing, cheerless, dilapidated, understaffed, dismal, dull, 		
outlet mall	NEUT	Building	an	in	large	crowded, bustling, hectic, busy,  sprawling, energetic, generic, soulless, bland, repetitive		
Pacific atoll	NEUT	Outside_Area	a	on	large	sandy, barren, desolate, lifeless, unspoiled, bleak, desolate, rugged, windswept, scrubby, dusty, arid		
padded room	NEG	Room	a	in		stark, spartan, clean, claustrophobic, confining, cramped, suffocating, stifling, oppressive, austere		
palatial mansion	POS	Building	a	in	large	luxurious, elegant, lush, stylish, opulent, grandiose, ornate, decadent, romantic, plush, comfortable, polished, glamorous, lavish		
parking lot	NEUT	Outside_Area	a	in	large	concrete, drab, grey, featureless, barren, desolate, lifeless, dreary, lonely, windswept, nondescript, 		
parliament building	POS	Building	a	in	large	distinctive, mature, ornate, dour, imposing, stately, ornate, spacious, plush, dignified, polished, solemn, monolithic, handsome, baroque, durable		
parliament chamber	POS	Room	a	in	large	elegant, plush, vibrant, noisy, loud, clamorous, venerable, sombre, dignified, sturdy, sweeping		
pawn shop	NEG	Building	a	in		tacky, gaudy, cramped, untidy, cluttered, dreary, depressing, sleazy, seedy, charmless		
peace conference	POS	Event	a	in		hectic, busy, bustling, lively, stimulating, pretentious, fractious, rambunctious, boisterous, spirited, volatile, 		
penthouse apartment	POS	Floor	a	in		lofty, sleek, elegant, luxurious, stylish, swanky, plush, lavish, sumptuous, exclusive, opulent, chic		
pet cemetery	NEG	Outside_Area	a	in	large	sombre, foggy, dreary, depressing, haunted, bleak, desolate, quiet, peaceful, gloomy, tranquil, quirky, 		
photo booth	NEUT	Room	a	in	small	cramped, claustrophobic, windowless, narrow, dim		
piano bar	POS	Building	a	in		atmospheric, stylish, cosy, welcoming, musical, intimate, classy, charming, moody, chic, smoky, relaxing, sultry		
pizzeria	POS	Building	a	in		nondescript, formulaic, tacky, cheesy, flashy, colourful,  greasy, garish, festooned, cosy, informal, unpretentious,  loud, bustling		
plastic surgeon's office	NEUT	Building	a	in		bright, sleek, clean, tidy, organized, clinical, sterile, hygienic		
playground	POS	Outside_Area	a	in		noisy, rowdy, raucous, cheerful, boisterous, bright, airy, colourful,  whimsical, joyful, energetic, spirited, unruly		
pool hall	NEUT	Floor	a	in		smoky, seedy, dark, gloomy, sleazy, decrepit, gritty, raucous, stale, smelly, grimy, dingy, murky, 		
presidential palace	POS	Building	a	in	large	luxurious, elegant, lush, stylish, opulent, grandiose, ornate, decadent, romantic, plush, comfortable, polished, glamorous, lavish, dilapidated		
principal's office	NEUT	Room	a	in		uninviting, formal, orderly, uptight, sombre, tidy, staid		
prison	NEG	Building	a	in	large	spartan, cramped, claustrophobic, confining, dreary, dim, uncomfortable, unwelcoming, uninviting, cold, dull, austere, oppressive, stifling, suffocating, labyrinthine, orderly, gritty, drab, crowded, concrete, barren, windowless		
prison yard	 NEG	Outside_Area	a	in		concrete, drab, grey, featureless, barren, desolate, lifeless, dreary, lonely, windswept, nondescript, uneasy, menacing		
private island	POS	Outside_Area	a	in	large	elegant, plush, luxurious, sandy, welcoming, exclusive, relaxing, spacious, sunny, exotic, opulent, glamorous, tranquil, serene, lavish, lush, leisurely		
private library	POS	Room	a	in		hushed, orderly,  tranquil, serene, quaint, elegant, formal, polished, staid		
private vault	NEUT	Room	a	in		heavy, grey, cold, airtight, gloomy, concrete, airless, stuffy, impenetrable, silent, windowless, secure		
private warehouse	POS	Building	a	in	large	spacious, airy, roomy, grand, quiet, upscale, air-conditioned, commodious, orderly 		
private yacht	POS	Building	a	on	large	luxurious, elegant, lush, stylish, opulent, grandiose, ornate, decadent, romantic, plush, comfortable, polished, glamorous, lavish		
public library	POS	Building	a	in	large	hushed, orderly, stuffy, airless, windowless, tranquil, serene, quaint, drab, formal, staid		
public restroom	NEG	Room	a	in	small	squalid, wet, damp, humid, smelly, slippery, sticky, airless, windowless, cramped, dirty		
